SRID,AUTH_SRID,SRTEXT,AUTH_NAME
-1,-1,"LOCAL_CS[""Spatial reference wasn't specified"",LOCAL_DATUM[""Unknown"",0],UNIT[""m"",1.0],AXIS[""x"",EAST],AXIS[""y"",NORTH]]",Not defined
0,404000,"LOCAL_CS[""Wildcard 2D cartesian plane in metric unit"",LOCAL_DATUM[""Unknown"",0],UNIT[""m"",1.0],AXIS[""x"",EAST],AXIS[""y"",NORTH],AUTHORITY[""EPSG"",""404000""]]",EPSG

